2026-01-15 09:12:30 | INFO     | maintenance.cleanup | Temp cleanup: 4 files, 23 B reclaimed
2026-01-15 09:12:30 | INFO     | maintenance.cleanup | Old-log cleanup: 0 files removed
2026-01-15 09:12:30 | INFO     | maintenance.cleanup | Empty-dir cleanup: 1 directories removed
2026-01-15 09:12:38 | INFO     | maintenance.backup | Backup complete: Documents_20260115T091238Z.zip (2 files, 45 B, verified)
2026-01-15 09:14:13 | WARNING  | maintenance.monitor | Monitor alerts: Memory usage 95% >= 90%
2026-01-15 09:14:15 | INFO     | maintenance.reports | Wrote json report: C:\Users\demo\maintenance-demo\reports\report_d3f9a17c4b02.json
2026-01-15 09:14:15 | INFO     | maintenance.reports | Wrote html report: C:\Users\demo\maintenance-demo\reports\report_d3f9a17c4b02.html
2026-01-15 09:14:15 | INFO     | maintenance.reports | Wrote markdown report: C:\Users\demo\maintenance-demo\reports\report_d3f9a17c4b02.md
2026-01-15 09:14:15 | INFO     | maintenance.reports | Wrote csv report: C:\Users\demo\maintenance-demo\reports\report_d3f9a17c4b02.csv
